region,station_name,station_id
act,Canberra,IDCJDW2801
act,Mount Ginini,IDCJDW2804
act,Tuggeranong,IDCJDW2802
nsw,Albion Park,IDCJDW2001
nsw,Albury-Wodonga,IDCJDW2002
nsw,Armidale,IDCJDW2004
nsw,Armidale Airport,IDCJDW2165
nsw,Badgerys Creek,IDCJDW2005
nsw,Ballina,IDCJDW2006
nsw,Balranald,IDCJDW2007
nsw,Bankstown,IDCJDW2008
nsw,Barraba,IDCJDW2010
nsw,Batemans Bay,IDCJDW2011
nsw,Bathurst,IDCJDW2012
nsw,Bathurst Airport,IDCJDW2166
nsw,Bega,IDCJDW2013
nsw,Bellambi,IDCJDW2014
nsw,Bombala,IDCJDW2015
nsw,Bombala (Therry Street),IDCJDW2167
nsw,Borrona Downs,IDCJDW2195
nsw,Bourke,IDCJDW2016
nsw,Braidwood,IDCJDW2018
nsw,Brewarrina,IDCJDW2019
nsw,Brewon,IDCJDW2009
nsw,Broken Hill Airport,IDCJDW2168
nsw,Burrinjuck Dam,IDCJDW2021
nsw,Byron Bay,IDCJDW2022
nsw,Cabramurra,IDCJDW2023
nsw,Camden,IDCJDW2024
nsw,Campbelltown,IDCJDW2157
nsw,Canterbury,IDCJDW2025
nsw,Casino,IDCJDW2026
nsw,Cessnock,IDCJDW2027
nsw,Cobar,IDCJDW2029
nsw,Cobar Airport,IDCJDW2169
nsw,Coffs Harbour,IDCJDW2030
nsw,Collarenebri,IDCJDW2031
nsw,Condoblin Agricultural Research Station,IDCJDW2170
nsw,Condobolin,IDCJDW2032
nsw,Cooma,IDCJDW2033
nsw,Cooma Airport,IDCJDW2171
nsw,Coonabarabran,IDCJDW2034
nsw,Coonabarabran Airport,IDCJDW2172
nsw,Coonamble,IDCJDW2035
nsw,Cootamundra,IDCJDW2036
nsw,Corowa,IDCJDW2037
nsw,Cowra,IDCJDW2038
nsw,Delta,IDCJDW2186
nsw,Deniliquin,IDCJDW2039
nsw,Dorrigo,IDCJDW2040
nsw,Dubbo,IDCJDW2041
nsw,Dunedoo,IDCJDW2042
nsw,Evans Head,IDCJDW2043
nsw,Forbes,IDCJDW2045
nsw,Forster,IDCJDW2046
nsw,Fowlers Gap,IDCJDW2155
nsw,Girilambone,IDCJDW2020
nsw,Glen Innes,IDCJDW2047
nsw,Glen Innes Airport,IDCJDW2173
nsw,Gosford,IDCJDW2048
nsw,Goulburn,IDCJDW2049
nsw,Goulburn Tafe,IDCJDW2174
nsw,Grafton,IDCJDW2050
nsw,Grafton Research Station,IDCJDW2194
nsw,Green Cape,IDCJDW2051
nsw,Grenfell,IDCJDW2052
nsw,Griffith,IDCJDW2053
nsw,Gulgong,IDCJDW2054
nsw,Gundagai,IDCJDW2055
nsw,Gunnedah,IDCJDW2056
nsw,Gunnedah Resource Centre,IDCJDW2175
nsw,Guyra,IDCJDW2057
nsw,Hay,IDCJDW2058
nsw,High Range,IDCJDW2164
nsw,Hillston,IDCJDW2059
nsw,Holsworthy (Defence),IDCJDW2188
nsw,Holsworthy Aerodrome,IDCJDW2161
nsw,Horsley Park,IDCJDW2062
nsw,Hume Reservoir,IDCJDW2063
nsw,Inverell,IDCJDW2064
nsw,Inverell (Raglan Street),IDCJDW2176
nsw,Ivanhoe,IDCJDW2065
nsw,Jervis Bay,IDCJDW2067
nsw,Jervis Bay Airfield,IDCJDW2187
nsw,Kapooka,IDCJDW2180
nsw,Katoomba,IDCJDW2068
nsw,Kempsey,IDCJDW2069
nsw,Khancoban,IDCJDW2070
nsw,Kiama,IDCJDW2160
nsw,Kurnell [Wind Only],IDCJDW2191
nsw,Lake Cargelligo,IDCJDW2071
nsw,Lake Macquarie,IDCJDW2159
nsw,Lake Victoria,IDCJDW2072
nsw,Lightning Ridge,IDCJDW2073
nsw,Lismore,IDCJDW2074
nsw,Lithgow,IDCJDW2075
nsw,Little Bay [Wind Only],IDCJDW2193
nsw,Lord Howe Island,IDCJDW2077
nsw,Lord Howe Island (Windy Point) [Wind Only],IDCJDW2190
nsw,Lostock,IDCJDW2078
nsw,Maitland,IDCJDW2079
nsw,Mangrove Mountain,IDCJDW2080
nsw,Marrangaroo,IDCJDW2110
nsw,Menindee,IDCJDW2081
nsw,Merimbula,IDCJDW2082
nsw,Merriwa,IDCJDW2158
nsw,Montague Island,IDCJDW2083
nsw,Moree,IDCJDW2084
nsw,Moruya,IDCJDW2085
nsw,Moruya Airport,IDCJDW2177
nsw,Moss Vale,IDCJDW2086
nsw,Mount Boyce,IDCJDW2087
nsw,Mount Ginini,IDCJDW2804
nsw,Mount Hope,IDCJDW2181
nsw,Mount Seaview,IDCJDW2151
nsw,Mudgee,IDCJDW2088
nsw,Mulurulu,IDCJDW2185
nsw,Mungindi,IDCJDW2089
nsw,Murrurundi,IDCJDW2196
nsw,Murrurundi Gap,IDCJDW2162
nsw,Murwillumbah,IDCJDW2091
nsw,Narooma,IDCJDW2092
nsw,Narrabri,IDCJDW2093
nsw,Narrandera,IDCJDW2094
nsw,Nelson Bay,IDCJDW2095
nsw,Nerriga,IDCJDW2096
nsw,Newcastle,IDCJDW2097
nsw,Newcastle University,IDCJDW2098
nsw,Noona,IDCJDW2183
nsw,Norah Head,IDCJDW2099
nsw,Norfolk Island,IDCJDW2100
nsw,North Head [Wind Only],IDCJDW2192
nsw,Nowra,IDCJDW2101
nsw,Nullo Mountain,IDCJDW2102
nsw,Nyngan,IDCJDW2103
nsw,Oberon,IDCJDW2104
nsw,Orange,IDCJDW2105
nsw,Orange Agricultural Institute,IDCJDW2178
nsw,Parkes,IDCJDW2106
nsw,Parramatta,IDCJDW2107
nsw,Paterson,IDCJDW2108
nsw,Peak Hill,IDCJDW2109
nsw,Penrith,IDCJDW2111
nsw,Perisher Valley,IDCJDW2112
nsw,Pindari,IDCJDW2113
nsw,Pooncarie,IDCJDW2114
nsw,Port Macquarie,IDCJDW2197
nsw,Port Macquarie Airport (Comparison),IDCJDW2115
nsw,Prospect Dam,IDCJDW2116
nsw,Quandialla,IDCJDW2117
nsw,Quirindi,IDCJDW2118
nsw,Richmond,IDCJDW2119
nsw,Scone,IDCJDW2121
nsw,Scone Soil Conservation Service,IDCJDW2179
nsw,Singleton,IDCJDW2122
nsw,Singleton (Defence),IDCJDW2003
nsw,Smithville,IDCJDW2184
nsw,South West Rocks,IDCJDW2123
nsw,Springwood,IDCJDW2156
nsw,Sydney,IDCJDW2124
nsw,Sydney Airport,IDCJDW2125
nsw,Sydney Harbour,IDCJDW2163
nsw,Sydney Olympic Park,IDCJDW2061
nsw,Tabulam,IDCJDW2126
nsw,Tamworth,IDCJDW2127
nsw,Taralga,IDCJDW2128
nsw,Taree,IDCJDW2129
nsw,Temora,IDCJDW2130
nsw,Tenterfield,IDCJDW2131
nsw,Terrey Hills,IDCJDW2154
nsw,Thredbo Top Station,IDCJDW2132
nsw,Thredbo Village,IDCJDW2133
nsw,Tibooburra,IDCJDW2134
nsw,Tocumwal,IDCJDW2135
nsw,Trangie,IDCJDW2136
nsw,Tumbarumba,IDCJDW2137
nsw,Ulladulla,IDCJDW2138
vic,Aireys Inlet,IDCJDW3001
vic,Albury-Wodonga,IDCJDW2002
vic,Ararat,IDCJDW3002
vic,Avalon,IDCJDW3003
vic,Bairnsdale,IDCJDW3004
vic,Ballarat,IDCJDW3005
vic,Ben Nevis,IDCJDW3045
vic,Benalla,IDCJDW3007
vic,Bendigo,IDCJDW3008
vic,Bundoora,IDCJDW3009
vic,Cape Nelson,IDCJDW3010
vic,Cape Otway,IDCJDW3011
vic,Casterton,IDCJDW3012
vic,Castlemaine,IDCJDW3013
vic,Cerberus,IDCJDW3014
vic,Charlton,IDCJDW3092
vic,Colac (Mt Gellibrand),IDCJDW3015
vic,Coldstream,IDCJDW3016
vic,Combienbar,IDCJDW3017
vic,Corryong,IDCJDW3018
vic,Cranbourne,IDCJDW3019
vic,Dartmoor,IDCJDW3101
vic,Dartmouth,IDCJDW3020
vic,East Sale Airport,IDCJDW3021
vic,Echuca,IDCJDW3023
vic,Edenhope,IDCJDW3096
vic,Edi Upper,IDCJDW3024
vic,Essendon,IDCJDW3026
vic,Falls Creek,IDCJDW3027
vic,Fawkner Beacon [Wind Only],IDCJDW3108
vic,Ferny Creek,IDCJDW3102
vic,Frankston (Ballam Park),IDCJDW3112
vic,Frankston Beach,IDCJDW3028
vic,Gabo Island,IDCJDW3029
vic,Geelong,IDCJDW3030
vic,Gelantipy,IDCJDW3031
vic,Haines Saddle,IDCJDW3025
vic,Hamilton,IDCJDW3032
vic,Hogan Island,IDCJDW3088
vic,Hopetoun,IDCJDW3090
vic,Horsham,IDCJDW3035
vic,Hunters Hill,IDCJDW3036
vic,Kanagulk,IDCJDW3091
vic,Kerang,IDCJDW3037
vic,Kilmore Gap,IDCJDW3038
vic,Kyabram,IDCJDW3039
vic,Lake Eildon,IDCJDW3040
vic,Lakes Entrance,IDCJDW3041
vic,Latrobe Valley,IDCJDW3042
vic,Laverton,IDCJDW3043
vic,Longerenong,IDCJDW3044
vic,Mallacoota,IDCJDW3046
vic,Mangalore,IDCJDW3047
vic,Maryborough,IDCJDW3048
vic,Melbourne,IDCJDW3050
vic,Melbourne (Olympic Park),IDCJDW3033
vic,Melbourne Airport,IDCJDW3049
vic,Mildura,IDCJDW3051
vic,Moorabbin,IDCJDW3052
vic,Mortlake,IDCJDW3053
vic,Mount Baw Baw,IDCJDW3095
vic,Mount Buller,IDCJDW3054
vic,Mount Hotham,IDCJDW3055
vic,Mount Hotham Airport,IDCJDW3056
vic,Mount Moornapa,IDCJDW3057
vic,Mount Nowa Nowa,IDCJDW3058
vic,Mount William (Grampians),IDCJDW3097
vic,Nhill,IDCJDW3059
vic,Nilma North,IDCJDW3104
vic,Omeo,IDCJDW3061
vic,Orbost,IDCJDW3062
vic,Ouyen,IDCJDW3063
vic,Point Hicks,IDCJDW3065
vic,Point Wilson [Wind Only],IDCJDW3107
vic,Port Fairy,IDCJDW3067
vic,Portland,IDCJDW3068
vic,Pound Creek,IDCJDW3099
vic,Puckapunyal (Lyon Hill),IDCJDW3111
vic,Puckapunyal West,IDCJDW3110
vic,Redesdale,IDCJDW3069
vic,Rhyll,IDCJDW3070
vic,Rutherglen,IDCJDW3071
vic,Sale,IDCJDW3022
vic,Scoresby,IDCJDW3072
vic,Sheoaks,IDCJDW3073
vic,Shepparton,IDCJDW3074
vic,South Channel Island [Wind Only],IDCJDW3109
vic,St Kilda Harbour [Wind Only],IDCJDW3106
vic,Stawell,IDCJDW3075
vic,Strathbogie,IDCJDW3076
vic,Swan Hill,IDCJDW3077
vic,Tatura,IDCJDW3078
vic,Viewbank,IDCJDW3093
qld,Alva Beach,IDCJDW4001
qld,Amberley,IDCJDW4002
qld,Applethorpe,IDCJDW4140
qld,Archerfield,IDCJDW4003
qld,Arlington Reef,IDCJDW4052
qld,Ayr,IDCJDW4005
qld,Ballera,IDCJDW4006
qld,Banana Bank [Wind Only],IDCJDW4161
qld,Barcaldine,IDCJDW4008
qld,Beaudesert,IDCJDW4141
qld,Bedourie,IDCJDW4009
qld,Beerburrum,IDCJDW4010
qld,Birdsville,IDCJDW4011
qld,Blackall,IDCJDW4012
qld,Blackwater,IDCJDW4013
qld,Bollon,IDCJDW4014
qld,Boulia,IDCJDW4015
qld,Bowen,IDCJDW4016
qld,Brisbane,IDCJDW4019
qld,Brisbane Airport,IDCJDW4020
qld,Bundaberg,IDCJDW4021
qld,Burketown Airport,IDCJDW4022
qld,Cairns,IDCJDW4024
qld,Cairns Racecourse,IDCJDW4154
qld,Camooweal,IDCJDW4025
qld,Canungra (Defence),IDCJDW4158
qld,Cape Flattery,IDCJDW4142
qld,Cape Moreton,IDCJDW4026
qld,Cardwell,IDCJDW4027
qld,Carters Bore,IDCJDW4151
qld,Century Mine,IDCJDW4143
qld,Charleville,IDCJDW4028
qld,Charters Towers,IDCJDW4029
qld,Clermont Airport,IDCJDW4147
qld,Cloncurry,IDCJDW4031
qld,Coconut Island,IDCJDW4032
qld,Coen,IDCJDW4033
qld,Collinsville,IDCJDW4034
qld,Cooktown,IDCJDW4035
qld,Coolangatta,IDCJDW4036
qld,Cowley Beach,IDCJDW4004
qld,Cunnamulla,IDCJDW4038
qld,Dalby,IDCJDW4039
qld,Double Island Point,IDCJDW4041
qld,Emerald,IDCJDW4042
qld,Flinders Reef,IDCJDW4043
qld,Frederick Reef,IDCJDW4164
qld,Gatton,IDCJDW4044
qld,Gayndah Airport,IDCJDW4045
qld,Georgetown,IDCJDW4047
qld,Gladstone,IDCJDW4049
qld,Gladstone Airport,IDCJDW4048
qld,Gold Coast,IDCJDW4050
qld,Greenbank (Defence),IDCJDW4156
qld,Gympie,IDCJDW4053
qld,Hamilton Island,IDCJDW4054
qld,Heron Island,IDCJDW4055
qld,Hervey Bay,IDCJDW4056
qld,Holmes Reef,IDCJDW4058
qld,Horn Island,IDCJDW4059
qld,Hughenden,IDCJDW4060
qld,Ingham,IDCJDW4061
qld,Injune,IDCJDW4063
qld,Inner Beacon [Wind Only],IDCJDW4163
qld,Innisfail,IDCJDW4064
qld,Innisfail Aerodrome,IDCJDW4160
qld,Isisford,IDCJDW4065
qld,Julia Creek,IDCJDW4067
qld,Kingaroy,IDCJDW4069
qld,Kowanyama,IDCJDW4070
qld,Lady Elliot Island,IDCJDW4071
qld,Lake Julius,IDCJDW4150
qld,Lihou Reef,IDCJDW4153
qld,Lochington,IDCJDW4148
qld,Lockhart River,IDCJDW4072
qld,Logan City,IDCJDW4073
qld,Longreach,IDCJDW4074
qld,Low Isles,IDCJDW4075
qld,Lucinda Point,IDCJDW4076
qld,Mackay,IDCJDW4078
qld,Mackay Airport,IDCJDW4077
qld,Mackay Racecourse,IDCJDW4159
qld,Mareeba,IDCJDW4080
qld,Maryborough,IDCJDW4082
qld,Middle Percy Island,IDCJDW4145
qld,Miles,IDCJDW4083
qld,Mitchell,IDCJDW4085
qld,Monto,IDCJDW4086
qld,Moranbah,IDCJDW4087
qld,Mornington Island,IDCJDW4088
qld,Mount Isa,IDCJDW4089
qld,Mount Stuart,IDCJDW4017
qld,Nambour,IDCJDW4091
